company,postContent,postUrl
Isar Aerospace,"_ Procure services instead of programs. Dont own the product, issue requests for services. Make companies compete for it.”  We were invited to join the European Parliament Public Hearing on 13 May, which focused on space governance and the future of the European space industry. Josef W., Sales Director, highlighted that autonomous, frequent, and reliable access to space is crucial for European sovereignty in the rapidly growing global space economy.  Thank you, ITRE Committee for the opportunity to share our insights and collaborate on advancing #Europe's space ambitions!  #fromisartospace  isar aerospace 7  »Procure services instead of programs. Don’t own the European Parliament product, issue requests for services. Make companies compete for it“  €G@ co 1 repost ® Like © Comment 1% Repost 7 Send Isar Aerospace + Follow 108,875 followers we ®  © Meet us at SmallSat Europe conference in Amsterdam on 27-28 May! We're excited to be a sponsor of the first SmallSat Europe. If you will be there too, don't miss the chance to get insights from our team on a variety of key topics:",https://www.linkedin.com/posts/isaraerospace_europe-fromisartospace-activity-7333163099232817153-IM5J?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"© Meet us at SmallSat Europe conference in Amsterdam on 27-28 May! We're excited to be a sponsor of the first SmallSat Europe. If you will be there too, don't miss the chance to get insights from our team on a variety of key topics:  * Stella Guillen, CCO on the Business stage panel “Availability of current and planned launch capabilities’ on 27 May at 13:30 CET  * Andrea Jaime Albalat, Institutional Business Development Manager on the ESA CubeSat stage panel on 28 May at 14:15 CET  * Sam Arne Whalley, Business Development Proposal Writer on the Technical stage on 28 May at 15:45 CET  Do you want to know more about Isar Aerospace and discuss launch opportunities? Then click here and select a time slot that suits for a 101 with the team: https:// Inkd.in/dtOXkR-b  #fromisartospace #SmallSatEurope  isar aerospace 7  f SMALLSAT  . *y EUROPE  Meet us at SmallSat Europe  Don't miss Stella Gullen, Andrea Jaime, ‘ond Sam Whalley os they share their ‘expertise in various ponelst ae  CeO 114 2. comments - 6 reposts Like © Comment Repost J Send Isar Aerospace + Follow TZ) 102875 tclowers  Imo. @)",https://www.linkedin.com/posts/isaraerospace_fromisartospace-smallsateurope-activity-7328675626511450112-5q6w?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"108,875 followers 2mo+@  Our launch vehicle #Spectrum is on the pad. We are approaching our first test flight  not earlier than Monday 24 March, The launch date remains subject to weather, safety  and range infrastructure,  7 Isar Aerospace + Follow  Regardless of how far we come on this initial test flight, it will be a success for Isar Aerospace and a milestone to be proud of. Read more in an article by our CEO and Co-Founder Daniel Metzler: https://Inkd.in/d4C355MR  Gl Stay up to date with the latest information and mission updates in our Ankd.in/dGm6STsQ  newsroom: https;  #fromisartospace #goingfullspectrum  Location: Andaya Spaceport  Launch. Learn. Repeat.  Danie! Metzler  €@0 1,884 63 comments - 92 reposts",https://www.linkedin.com/posts/isaraerospace_spectrum-fromisartospace-goingfullspectrum-activity-7308775602625437697-SAVf?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"eos (99 COMTENNS © FE TEPUSIS  Like © Comment Repost J Send  Isar Aerospace  The first test flight of our launch vehicle carried a special payload: our team’s spirit. Every challenge faced, every hour spent, every moment of determination led to this. The best part? We're just getting started.  Location:  36 comments - 52 reposts  ® Like © Comment 1% Repost 7 Send  Isar Aerospace",https://www.linkedin.com/posts/isaraerospace_spectrum-goingfullspectrum-fromisartospace-activity-7313555970037579776-mK1i?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"BIKE SY tomment oJ epost  Isar Aerospace + Follow  J) swe275olowers 2mo+@  Honored to welcome ElevationSpace Inc. as our first customer in the Asian market. We  look forward to launching your first spacecraft ""AOBA"" together!  Stella Guillen, Chief Commercial Officer at Isar Aerospace says: “Access to space is essential for unlocking technological progress. We're excited to partner with ElevationSpace, a leading innovator in the Asian market, to drive the future of cutting- edge space research.”  Read more: https://Inkd.in/dH3AcakN  #fromisartospace  ElevationSpace Inc. + Follow 794 followers 2mo+ @ [Press Release 4% ] ElevationSpace signs launch service contract with Isar Aerospace to launch first  spacecraft ""AOBA” ...more  ElevationSpace Inc.  elevation-spacecom  €@O 160 3 comments - 7 reposts Like © Comment Repost J Send Isar Aerospace + Follow J) swe275olowers 3mo+@  Designed, built and tested (@ Pending regulatory approval, we are Go for flight.   [CONTINUED_FROM_SCROLL]  ElevationSpace, a leading innovator in the Asian market, to drive the future of cutting-  edge space research.”  Read more: https://Inkd.in/dH3AcakN  #fromisartospace  ElevationSpace Inc. + Follow 794 followers 2mo+ @ [Press Release 4% ] ElevationSpace signs launch service contract with Isar Aerospace to launch first  spacecraft “AOBA”  “AOBA"" will finally be launched into space the second half of 2026 ! Please look forward to it!  ElevationSpace is looking for new member We look forward to hearing from you.  https://Inkd.in/dH3AcakN #ElevationSpace  #AOBA #lsaraerospace  #Spectrum ElevationSpace Inc. elevation-spacecom €@O 160 3 comments - 7 reposts Like © Comment Repost J Send Isar Aerospace + Follow J) swe275olowers  ma",https://www.linkedin.com/posts/isaraerospace_elevationspace-inc-activity-7302672664567902211-Khcb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"Like © Comment Repost J Send  Isar Aerospace 108 75 followers  3mo+@ Designed, built and tested (@ Pending regulatory approval, we are Go for flight.  Read more:  CEO 3,333 157 comments - 312 reposts  ® Like © Comment 1% Repost 7 Send  Isar Aerospace 108 75 followers  imo+@ Earlier this week, we hosted a delegation of the Committee on Industry, Research and Energy (TRE) at 's Production facilities in Germany. Our CTO and Co-Founder welcomed our guests ...more  ———- = Ff",https://www.linkedin.com/posts/isaraerospace_fromisartospace-activity-7298628846348554241-aeG9?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"COO 3,333  ® Like © Comment  Isar Aerospace 108 75 followers imo+@  comments - 312 reposts  1% Repost 4 Send  + Follow  Earlier this week, we hosted a delegation of the European Parliament Committee on Industry, Research and Energy (ITRE) at Isar Aerospace’s Production facilities in Germany. Our CTO and Co-Founder Josef Fleischmann welcomed our guests ...more  isar aerospace 7  Why access to space is important for European security, defence, resilience and economic prosperity  Exploring our automated series production for launch vehicles  €€0 353  Like © Comment  7 Isar Aerospace  108875 followers  ited ©  Follow Spectrum's First Test Flight live.  5 comments - 7 reposts  Repost J Send  + Follow  Isar Aerospace announced today that the company will broadcast the first test flight of, Spectrum with a public livestream. Mission ‘Going full Spectrum’ will be live on  Ve The cree obec I Mecbeed te, [COD beck bby   [CONTINUED_FROM_SCROLL]  COO 3,333 1  comments - 312 reposts  ® Like © Comment 1% Repost 7 Send Isar Aerospace + Follow 108,875 followers imo+@  Earlier this week, we hosted a delegation of the European Parliament Committee on Industry, Research and Energy (ITRE) at Isar Aerospace’s Production facilities in Germany. Our CTO and Co-Founder Josef Fleischmann welcomed our guests and highlighted the importance of competitive and flexible access to space for  European #security, #defence, #resilience and #economic #prosperity. Space-based technologies and robust technological competencies in Europe are key to address the challenges of our future.  Thanks to the Members of the Parliament Tsvetelina Penkova, Angelika Niebler, Zala Toma’  jego Solier and Jutta Paulus for your visit! #fromisartospace  isar aerospace 7  Why access to space is important for European security, defence, resilience and economic prosperity  Exploring our automated series production for launch vehicles  €€0 353 5 comments - 7 reposts  Like © Comment Repost J Send",https://www.linkedin.com/posts/isaraerospace_security-defence-resilience-activity-7318609576633729025-4M97?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"Exploring our automated series production for launch vehicles  €€0 353 5 comments - 7 reposts Like © Comment Repost J Send Isar Aerospace + Follow J) ‘02875 flowers  2mo + Edited + ©  Follow Spectrum's First Test Flight live.  Isar Aerospace announced today that the company will broadcast the first test flight of, Spectrum with a public livestream. Mission ‘Going full Spectrum’ will be live on YouTube via: https://Inkd.in/dS8UqHUb  The livestream will start with a conclusive GO poll at approximately:  © T-20 minutes © 12:15pm CEST © 10:15am UTC  As the day progresses, Isar Aerospace will provide more information and status updates.  = 7 dow First Test 4 Livestream: First test flight of Isar Aerospace  Flight  youtube.  €@0 1.875 69 comments - 212 reposts Like © Comment Repost J Send Isar Aerospace + Follow J) swe875olowers 1mo+@  We have liftoff! On 30 March, 12:30pm CEST, Spectrum launched for the first time",https://www.linkedin.com/posts/isaraerospace_livestream-first-test-flight-of-isar-aerospace-activity-7311029910725181441-mqaB?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"liftoff! On 30 March, 12:30pm. Spectrum launched for the first time . Norway. Now it's time to analyze, learn and get back to the pad with Spectrum #2.  Photo: Isar Aerospat",https://www.linkedin.com/posts/isaraerospace_fromisartospace-goingfullspectrum-activity-7312850006112137216-Msze?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Isar Aerospace,"EM 5,620 2 comments * 2/ reposts  ® Like © Comment 1% Repost 7 Send  Isar Aerospace 108 75 followers imo+@  has become the first European commercial space company to launch an orbital rocket from Continental Europe. In the first test flight of the company’s  Spectrum launch vehicle from Andgya Spaceport in Norway, Isar Aerospace met its set goals,  Photo: Isar Aerospace | Simon Fischer, Wingmen Media Location:  €€0 6950 131 comments - 105 reposts  Like © Comment Repost J Send  Isar Aerospace",https://www.linkedin.com/posts/isaraerospace_fromisartospace-goingfullspectrum-activity-7312134893616992256-Vaz-?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
