company,postContent,postUrl
Maia Space,"+ MaiaSpace + Follow  Se 22840 loners aw? ®  We are excited to share that Michael CALLARI, our Chief Business Officer, and Angela  az Labrador, Business Development Senior Manager, will be attending SmallSat  Europe in Amsterdam on May 27-28, 2025.  (On May 27 at 1:30 PM, Michael CALLARI will be taking part in a panel discussion on “Availability of Current and Planned Launch Capabilities’, where he will contribute insights drawn from our recent work, our roadmap and next steps towards our maiden flight.  Both will be happy to connect throughout the event - feel free to reach out and schedule a meeting to hear the latest about what we are building at MaiaSpace, and what is coming next!  #MaiaSpace #DownToEarth #M:  #SmallSat #Innovation #Reusal  MEET US  TUES. 1:30 pm MAY 27  $5 SMALUSAT 2_with Angela Diaz Labradorand tothe 5 p E  035 3 reposts  Like © Comment Repost J Send  Gt MaiaSpace + Follow",https://www.linkedin.com/posts/maiaspace_maiaspace-downtoearth-maia-activity-7328313208958513152-cizS?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace 2w + Edited - @ @ Join the Team on the BREIZH ! i 2 *-  This year again, some of our brave MaiaSpacers will try and push their limits by participating to the T24 BREIZH 2025, a new kind of triathlon that combines team spirit, self-improvement and endurance,  @ The concept ?  The 124 is an exceptional sports adventure where the goal is to complete the longest possible triathlon in 24 hours, either solo or in a relay team of 2, 4, or 6 people.  - 4 hours of swimming ~ 1 km loop  - 12 hours of cycling - 20 km loop  - 8 hours of running - 5 km loop  Rendez-vous on June 28 & 29, 2025 for this unforgettable team adventure, accessible to all, regardless of your level. A unique occasion to strengthen cohesion and team spirit @  24H INOIVIOUEL RELAIS PAR 2, 6 OU 6  28 & 29 JUIN 2025",https://www.linkedin.com/posts/maiaspace_t24breizh-maiaspace-challenge-activity-7325900597675651072-xR77?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"AE 100  ® Like © Comment 1% Repost 7 Send  + MaiaSpace € 4 28  “» Success for our first full-scale stages separation test campaign!  “TireBouchon"", our custom-built test bench, was designed to validate the separation mechanism between the two stages of our launcher under realistic atmospheric conditions.  The massive red claws you see in the video? They replicate both gravity pull and aerodynamic forces to simulate the intense environment of stage separation.  In just a split second, the entire structure lifts — it's fast, powerful, and yes, it looks just like a corkscrew. That's exactly why we called it TireBouchon — a fitting name for this impressive piece of engineering!  All of this happened in Vernon, just 2 km away from our proto-MaiaFactory, where all our prototypes are integrated and tested.  Proud of the team. More to come!",https://www.linkedin.com/posts/maiaspace_maiaspace-innovation-reusability-activity-7325172425799704576-ASEW?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow 1mo-@  “Learning to Fly: New European Market Entrants’.  During the German Aerospace Center (DLR) Industrial Days in Lampoldshausen, Germany, our head of Public Relations Raphael Chevrier, PhD took part in a panel gathering no less than 8 new European launch services providers.  After recalling latest major milestones at operational, commercial and Team levels of our 3-year-old company, Raphaél emphasized the unique win-win  relationships MaiaSpace’s engineers have been building with industrial partners, based ona co-engineering approach, constantly sharing feedback on specifications to reach the ambitious cost targets for a mini launcher to be competitive in terms of cost per kilogram versus heavy launch solutions.  More than 50% of our industrial partners are European out of France, highlighting the unparalleled expertise built in more than 4 decades of cooperation in the European space sector promoted by the European Space Agency - ESA.  With Maia first flight targeted in 2026, we are more than ever convinced that combining disruptive “test & learn” iterative development methods with the existing European expertise and excellence is the winning recipe to quickly provide competitive, reusable, eco-designed and scalable launch and mobility solutions that will contribute to long-term European autonomous access to space.  Thanks to German Aerospace Center (DLR) for this opportunity, and to all panelists for the fruitful exchange: Johanna P. (Isar Aerospace), J6rn Spurmann (Rocket Factory Augsburg - RFA), Christian Schmierer (Hylmpulse), Ratil Verdi (PLD Space), Aurélie Bressollette (Latitude) and Francois Maroquene-Froissart (Sirius Space Services) and our excellent moderator Jorgen Bru.  #Europeinspace",https://www.linkedin.com/posts/maiaspace_innovation-reusability-europeinspace-activity-7318887014181855232-9Qg1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow ‘imo + Edited» © MaiaSpace turns 3 years old this month!  3 years can go by in the blink of an eye, but it’s also enough time to:  #° Grow from 1 to more than 270 MaiaSpacers; Build 2 prototypes of almost all sub-systems of the Maia launcher; Perform all kind of tests, from hot firing of the kick-stage Colibri to stages separation tests, cryo-fillings, pressurization, fit-checks, etc: Securization of a launch pad in the most optimized spaceport in the world, the Guiana Space Center, and start of preparatory work: ® Signing of a first commercial contract with a key customer.  Thanks to all MaiaSpacers to their dedication to provide Europe with the first reusable, competitive and eco-designed launcher featuring the vertical recovery of the first stage ona barge at sea.  Exciting new milestones ahead, with a first Prometheus engine firing test on our Upper Stage later this year, and of course a first test flight and start of commercial operations in 2026!  #GoMaia #Reusability #Europeinspace",https://www.linkedin.com/posts/maiaspace_gomaia-reusability-europeinspace-activity-7313239608081743872-BIit?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ Follow  + MaiaSpace 1mo-@  MaiaSpace is extremely pleased to announce the signature of a contract with CRYO DIFFUSION - QTC group and SpaceDream for the supply of #Methane filling equipment on the launch zone where the MaiaSpace launcher will lift-off in from the  Guiana Space Center.  The contract covers fixed storage, distribution lines and the filling process up to the Ground/Onboard interfaces.  On-site work is planned for initial operational implementation in 2026.  A tight schedule made possible thanks to the agility and innovative DNA of CRYO DIFFUSION - QTC group and SpaceDreamS!  bd | by  ma IK I}  Et  G0 358 4.comments - 15 reposts Like © Comment Repost J Send + Follow  + MaiaSpace 2mo+@ Last week, MaiaSpace was proud to be part of the Maritime Innovation Day, co-  organized by Centre National d'Etudes Spatiales and the DGAMPA - Affaires maritimes, péche et aquaculture! ..more",https://www.linkedin.com/posts/maiaspace_methane-activity-7312497307373977601-hjup?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow  € gy 22840 olowers 2mo+ @  Last week, MaiaSpace was proud to be part of the Maritime Innovation Day, co-  organized by Centre National d'Etudes Spatiales and the DGAMPA - Affaires  1es, péche et aquaculture!  Raphaél BREDA, our Operational Ground Systems Product Owner & Launch Operations System Architect, joined a roundtable on “Cross-Services between Maritime and Space"",  He had the chance to talk about one of the key elements of our future missions: the barge we will use at sea to recover the first stage of our launcher.  This part of the project is crucial — both technically and strategically — with challenges such as costs to cut, environmental impact to reduce, and specific regulations to address.  ‘These operations are set to start in 2027... exciting times ahead!  Thanks to the organizers and all participants for the great discussions.  #MaiaSpace #DowntoEarth #Innovation #Reusability #Barge #Sea  ® Like © Comment 1% Repost 7 Send + MaiaSpace + Follow 2mo+ @  Lorsqu’on remit des passionnes qui developpent des fusees et un aspirant astronaute, la rencontre devient necessairement inoubliable ! ... nore",https://www.linkedin.com/posts/maiaspace_maiaspace-downtoearth-innovation-activity-7310971375165362176-qlIZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow 2mo+@  Lorsqu’on remit des passionnes qui developpent des fusees et un aspirant astronaute, la rencontre devient necessairement inoubliable !  MaiaSpace a eu I'honneur d’accueillir Arnaud Prost, membre de la réserve du Corps européen des astronautes de I'European Space Agency - ESA. Ce moment privilégié a permis d’en apprendre davantage sur son parcours, son activité en tant que pilote de VAWACS — notamment pour la surveillance de la base spatiale de Kourou lors le premier vol commercial d'#Ariane6 (peut-étre demain lors les lancements  de #Maia? ©) — ainsi que sur ses entr: voyages spatiaux.  ements pour se préparer a ses futurs  Merci Arnaud Prost pour votre disponibilité et ces échanges enrichissants, qui ont insuffié une belle dose d'inspiration 8 nos ingénieurs !  #Astronaute #ESA #Maia #équipe  Show translation",https://www.linkedin.com/posts/maiaspace_ariane6-maia-astronaute-activity-7310344760970399744-aPW7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow Se 22840 loners 2mo+@  ® MaiaSpace signs first commercial contract with Exotrail, for the launch of Je spacevan™ missions starting in 2027!  The Agreement with Exotrail, the France-based space logistics leader, marks a significant milestone for MaiaSpace, as it represents the company's first commercial contract, underscoring its emergence as a key player in the global space transportation industry.  It will facilitate the launch of multiple spacevan™ servicer missions as early as 2027, paving the way for a long-term collaboration between MaiaSpace and Exotrail  See below and on our website for more information eee https://Inkd.in/edcauSqw  #Contract #Innovation #reusability #Europeinspace  &  matiaspace  Courts 20 March, 2025  Malaspace, 2 sloneering launch services provider designing, manufacturing, commercializing and ‘operating the fst reusable and mare eco-esponsble min-uncher in Europe, has signed its fst commercial contract with Exotral, the Fence-based space logistic leader. The Agrement wl {acitat the launch of maliplespaceran” servicer missions as early as 2027, ping the way for 2 ‘ong-term collaboration between MalaSpace and Exot,   [CONTINUED_FROM_SCROLL]  ontract #Innovation #reusability #Europeinspace  MaiaSpace signs first commercial contract with Exotrail, for the launch of multiple spacevan™ missions starting in 2027. Courboa 2 March 2085  Maiaspace, 3 pioneering lunch services provider de manufacturing, commercaling and ‘operating the first reusable and mare eco-responsble min-launcher in Europe, has signed is first ‘commercial contract with Exotral the France-based space logistics leader. The Agreement will facitate the launch of multiple spacevan” servicer missions as early 2s 2027, paving the way for @ long-term collaboration between MalaSpace and Extra  ‘This strategic partnership marks significant milestone for MaeSpace, ast represents the company’s fiest commercial contract underscoring Its emergence as 2 key player in the global space ‘transportation industry,  ‘Securing our fist commercil contactless then three yrs aftr the creation of MelaSpace is @ major step forward demonstrating our commitment to propose to our customers the mest competitive space launch service nits category. said Yohann Leroy, CEO of MalaSpace. We are extremely grateful towards leader Ske Exatra in end-to-end space mobilty for ths mark of confidence, Ths agreement provides adie flexbity for Exoraits access to refebe launch opportunities taloved to ts customers needs, and reinforces MalaSpace’s ambition to become alesing player in European space transportation”  ‘The synergy between MaiaSpace's innovative and modular launch services and the mobility and hosting capabilties of the spacevan” platform, enlarge the array of possibilities given to satelite operators for ‘ther payload deployment and services in space,  “At otra the spacevan™ manifests building up and we ae tied to tesm up with a trusted partner such as MalaSpace for our access to space, added Jean-Luc Maria, CEO & Cofounder of Exotral. Epitome of European capabities, and synergies between launchers and servicing vehicles this contract opens ew perspectives for customers who want reliable and secured delvery in space for tei payload”    [CONTINUED_FROM_SCROLL]  ontract #Innovation #reusability #Europeinspace  &  maiaspace  ‘The signing of the agreement follows several months of constructive dscussions, culminating in a ‘mutually beneficial deal that strengthens the European space ecosystem. By leveraging their respective ‘expertise, MaiaSpace and Exotral are poled to drive novation, efficiency and compettty in space ‘transportation and moblityn Europe for years to come,  Contact Press: Paphadl CHEVRIER  About MaiaSpace  Founded in April 2022, MaiaSpace designs, manufactures, commerciales and operates the first reusable and more eco-responsible minilauncher in Europe, MalaSpace leverages the best of both worlds: drawing on the excellence and expertise of the historic European space sector, especially that ofits mather company AianeGroup, while maintaining the speed ality and cutuce of risk ofa start- up. Powered with quid oxygen and liquid bio-methane, MaiaSpace's launcher, which i scheduled to begin commercial operations in 2026, has a it-off capachy of up to 4000 kg in low-Earth orbit depending onthe launcher version (expendable or reusable, the inclination and the use ofits Colibri ‘ick-stage. More than 260 MaiaSpaces are curently located in La Défense (le-de-France] and Vernon (Normandy).  ‘www mala-space.com  About Exotrail  Exotral is a leacing space logistics provider, providing customers with end-to-end space mobility solutions From state-of-the-art electric propulsion fr small satelite, to in-orbit senices ow products ‘help optimize the deployment of satelites, increase ther performance and address the challenge of space sustainbilty. Incorporated in 201, Exotrall has secured over €70M of funding, more than 30 ‘customers in North America, Europe and Asia and significant in space heritage. Extras team consists (of +180 passionate people operating aut of two locations in France [Toulouse and Massy), s well as in ‘the US. trough Exotral US.  ‘netps//wormexotraitcom/",https://www.linkedin.com/posts/maiaspace_maiaspaces-first-commercial-contract-signed-activity-7308491767874478082-C1Kx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
Maia Space,"+ MaiaSpace + Follow 2mo « Edited + ©  Very well said, nothing to add Laurent TRAN DIEN!  Let's focus on the immense challenges we face on Earth! #GoMaia #Innovation #Europeinspace  Laurent TRAN DIEN - 3rd+ + Follow  ior Manager, MaiaSpace  x” Happy Monday Space Friends! 3°  Why wait for Friday to be happy, right?  Let's make it count E-V-E-R-Y-D-A-Y! Starting the week with some very good vibes!  Last week, MaiaSpace announced the execution of a commercial agreement with Exotrail, a major milestone that reinforces our customer's trust and paves the way for exciting space missions ahead. @ s°  AND to kick off this week, our CEO Yohann Leroy shared his perspective live on French news television during monday morning coffee time, highlighting MaiaSpace role  in the rapid evolving space ecosystem.  Our focus is clear: sending satellites into orbit—for telecommunications, Earth observation, and ultimately, making Earth @ a better place «2  Whether it’s monitoring climate change or bridging the digital divide, these missions deeply align with our values at MaiaSpace.  #GoMaiaSpace #SpaceForGood #EarthObservation #Bridging| https://Inkd.in/e7c2TWed  https://Inkd.in/exZpXGMP",https://www.linkedin.com/posts/maiaspace_french-tech-maiaspace-lanceur-de-satellites-activity-7310207095587434498-5q6x?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFszMIoBPo6W4ZcByLQJfMIqPrftEWnjAbU
