company,postContent,postUrl
PLD Space,"The first edition of SmallSat Europe in Amsterdam is around the corner!  ‘Feel invited to attend the panel discussion ‘Availability of Current and Planned Launch Capabilities’ where Pablo Gallego Sanmiguel, Senior Vice President of Sales & Customers, will elaborate on how we are building the MIURA 5 launch system at speed and scale while adapting to increasing on-demand customer requirements based on flexibility and responsiveness,  If you also would like to meet us in person to discuss potential partnerships or future launch opportunities, feel free to book your one2one meeting with Pablo below:  https://bit.ly/3Fqn9t4  See you all there!  >PLDSPAC May 27, 2025  Panel Discussion Availability of Current and Planned Launch @PSMALLSAT  Capabilities bem. EUROPE  @ 130 - 2.30 pm (cesT) @) Pablo Gallego pa, Soman  Pof Sales & Customers  CO 69 3 comments - 6 reposts  Like © Comment Repost J Send  PLD Space + Follow  60,168",https://www.linkedin.com/posts/pld-space_the-first-edition-of-smallsat-europe-in-amsterdam-activity-7330550051791962112-jm-Q?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"MIURA 5 is hirin|  ‘At PLD Space, every challenge we face is an opportunity to grow and to make a difference.  Our team shares a common goal: to unlock access to space in a way that's fast, sustainable, and meaningful.  From global collaboration to pushing the limits of technology, this is where curiosity meets purpose  Ready to join us? We're hiring for key roles across our team:  CNC Machinist: https://bit.ly/492teq5  Metallic Coating Engineer (EDP): https://bit.ly/436td2W [Propulsion Test Engineer: https://bit.ly/4kcJIAD Manufacturing Engineer: https://bit.ly/4cYGDBB Additive Manufacturing Engineer: https://bit.ly/3HbIFDM CAD/CAM Programmer: https://bit.ly/4ms4NbP  OC 237 2 comments - 25 reposts",https://www.linkedin.com/posts/pld-space_%F0%9D%97%A0%F0%9D%97%9C%F0%9D%97%A8%F0%9D%97%A5%F0%9D%97%94-%F0%9D%9F%B1-%F0%9D%97%B6%F0%9D%98%80-%F0%9D%97%B5%F0%9D%97%B6%F0%9D%97%BF%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-at-pld-activity-7333093488604934144-Zw_a?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,">PLDSPACE  © Comment    [CONTINUED_FROM_SCROLL]  Ed «..c 6d-® CAD/CAM Programmer Wanted!  At PLD Space, you'll be part of a small, agile team working closely with machinists, engineers, and production leads to ensure the correct fabrication of MIURA 5  components through every step of the manufacturing process.  We're looking for professionals who value control and precision as essential tools to manufacture cutting-edge components for the aerospace industry.  Start your application here!  https://bit.ly/4ms4NbP",https://www.linkedin.com/posts/pld-space_%F0%9D%97%96%F0%9D%97%94%F0%9D%97%97%F0%9D%97%96%F0%9D%97%94%F0%9D%97%A0-%F0%9D%97%A3%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%B4%F0%9D%97%BF%F0%9D%97%AE%F0%9D%97%BA%F0%9D%97%BA%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%97%AA%F0%9D%97%AE%F0%9D%97%BB-activity-7331236145265033228-Jb4D?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,MIURA 5 esté contratando!  Unete a un equipo de primer nivel que hoy busca dar solucién a los desafios de fabricacién més exigentes para construir el mafiana del transporte espacial.  Consulta nuestras oportunidades més destacadas aqui:  Operario de mecanizado CNC: Metallic Coating Engineer (EDP): Propulsion Tooling Engineer: Manufacturing Engineer:  Additive Manufacturing Engineer:  iTu futuro empieza aqui! :Lo construimos juntos?  Show translation  -  iMIURA 5 esta,https://www.linkedin.com/posts/pld-space_miura-5-est%C3%A1-contratando-activity-7323299007403835392-Fe9f?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"At PLD Space, our CNC Machinists turn raw materials into precision ...more  mments  © Comment 4 Send  + Follow    [CONTINUED_FROM_SCROLL]  ‘At PLD Space, our CNC Machinists turn raw materials into precision components that power the next generation of European spaceflight.  We're looking for detail-driven professionals who thrive in fast-paced teams and take pride in building space technology—one micron at a time.  Start your application here!",https://www.linkedin.com/posts/pld-space_%F0%9D%97%96%F0%9D%97%A1%F0%9D%97%96-%F0%9D%97%A0%F0%9D%97%AE%F0%9D%97%B0%F0%9D%97%B5%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B6%F0%9D%98%80%F0%9D%98%81-%F0%9D%97%AA%F0%9D%97%AE%F0%9D%97%BB%F0%9D%98%81%F0%9D%97%B2%F0%9D%97%B1-activity-7329060738763767808-qlma?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"PLD Space + Follow 60,168 followers ®  Join us next week at FEINDEF (Feria Internacional de Defensa y Seguridad de Espafia), Spain's International Defence and Security Exhibition, backed by the institutional support of the Ministry of Defence.  Visit us at booth 10A30 to explore new partnerships, engage with our experts, and discuss how we can help drive your future flight missions forward.  We look forward to welcoming you!  >PLDSPAC e FEINDEF 25  Booth 10A30 March 12 IFEMA  1 comment - 3 reposts Like © Comment Repost J Send PLD Space + Follow  60,168  ()  Propulsion Tooling Engineers Wanted!  PLD Space Propulsion Tooling Engineers are responsible for the design, fabrication, integration, test, and delivery of production tooling and fixturing solutions to our",https://www.linkedin.com/posts/pld-space_join-us-next-week-at-feindef-feria-internacional-activity-7326555749730422784-F5xr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"Propulsion Tooling Engineers Wanted!  PLD Space Propulsion Tooling Engineers are responsible for the design, fabrication, integration, test, and delivery of production tooling and fixturing solutions to our TEPREL-C engine production.  ly turn ideas and concepts into fully functioning components ready to support production and testing of  MIURA 5 rocket engine:  Start your application here:  https://bit.ly/3SjI7N3  JOIN Pl SPAC GLOBAL ENGINEERING TEAM",https://www.linkedin.com/posts/pld-space_%F0%9D%97%A3%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%BD%F0%9D%98%82%F0%9D%97%B9%F0%9D%98%80%F0%9D%97%B6%F0%9D%97%BC%F0%9D%97%BB-%F0%9D%97%A7%F0%9D%97%BC%F0%9D%97%BC%F0%9D%97%B9%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-%F0%9D%97%98%F0%9D%97%BB%F0%9D%97%B4%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B2%F0%9D%97%B2%F0%9D%97%BF%F0%9D%98%80-activity-7328372566740385793-8TXa?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"afio lo hace con PLD Space como principal impulsor ©»  PLD Space colidera el campamento espacial mas avanzado de Espafia -con 5  Show translation  SPACE CAMP VALENCIA EXPLORA EL UNIVERSO CON SPACE CAMP  Tu primer paso en la  carrera espacial  Entrenamiento REAL para jOvenes astronautas  PLDSPACE  Impulsor Tecnologico  © Comment 7 Send   [CONTINUED_FROM_SCROLL]  we ® \Vuelve Space Camp y este afio lo hace con PLD Space como principal impulsor ©” PLD Space colidera el campamento espacial mas avanzado de Espafia -con 5  expediciones semanales entre el 23 de junio y el 25 de julio de 2025 en Valencia- para inspirar a nifios de entre 10 y 17 aftos.  En este Space Camp, organizado por , participamos activamente a través de becas, mentorizacién, visitas didécticas a la fébrica de MIURA 5 y con la cocreacién de 3 talleres précticos:  + Hackathon ""Salvar el huevo"": simulaci6n de un aterrizaje en Marte que incluye un tour por nuestra sede central.  + Construye y lanza un cohete: disefio y lanzamiento de un cohete de agua inspirado en MIURA 5.  + Mars Mission: aventura de realidad virtual con LINCE y MIURA Next.  S Inscripcién abierta aqué  Show translation  CAMP  @s See  EXPLORA EL UNIVERSO CON SPACE CAMP  Tu primer paso en la  carrera espacial  Entrenamiento REAL para jOvenes astronautas",https://www.linkedin.com/posts/pld-space_vuelve-space-camp-y-este-a%C3%B1o-lo-hace-con-activity-7325451618995331072-j8ph?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"PLDSPAC  Impulgor Teend  CO 155 7 comments - 13 reposts Like © Comment Repost J Send  PLD Space  60,168 followers  imo+® ¥ Itisa great honor for us that the case 'PLD Space’ has won the 2025 Case Writing Competition in the ‘Bringing Technology to Market' category (organized in partnership with ). Professors and , together with our Executive President, have done a remarkable job turning our business model  into a case study for executive leadership programs.  Thank you to IESE Business School for inviting us to participate live in their class discussions, such as the one yesterday as part of their PDG, where our CBDO and Co- founder, , had the chance to share his firsthand experience and answer the students’ questions.  \& Ifyou're interested in the case, it is available here:  Case: >PLDSPACE  > Alejandro Serrano  > Pip  > Ezequiel Sane",https://www.linkedin.com/posts/pld-space_spaceindustry-casemethod-innovation-activity-7321470035040829441-X5_q?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
PLD Space,"Ee im ®D  4 Yesterday we completed the recruitment process of our first Early Talent Program!  Out of more than 800 applicants registered for our first summer internship program, 55 students from 17 national and international universities have been pre-selected to participate in the MIURA 5, MIURA Next, and Business areas.  This group of young talents had the opportunity to visit our headquarters in person, attend an inspiring talk by our CEO, Ratil Torres, and put their technical skills, problem- solving abilities, and teamwork to the test through various hands-on challenges coordinated by our area managers  A special thanks to all the universities that partnered with us. We can't wait for the selected candidates to join our team!  Next AdAstra Early Talent Day r October 16, 2025. https://Inkd.in/dzzdHeaT  4 Ayer completamos el proceso de seleccién de la primera edicién de nuestro Early Talent Program!  De entre los mas de 800 candidatos registrados en nuestro primer programa de practicas de verano, 55 estudiantes de 17 universidades nacionales e internacionales han sido preseleccionados para participar en las éreas de MIURA 5, Next y Business.  Este grupo de jévenes ha tenido la oportunidad de conocer en persona nuestra sede central, recibir una charla inspiradora de nuestro CEO, Ratil Torres, y poner a prueba sus habilidades técnicas, de resolucién de problemas y de trabajo en equipo en  diferentes desafios practicos, coordinados por nuestros responsables de area.  Un agradecimiento especial para todas las universidades colaboradoras, jestamos deseando que los seleccionados se incorporen nuestro equipo!  Proxima edicién AdAstra Early Talent Day dr 16 octubre de 2025.  https://Inkd.in/dzzdHe4T",https://www.linkedin.com/posts/pld-space_yesterday-we-completed-the-recruitment-activity-7321137596825239552-Uapm?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
