company,postContent,postUrl
RFA,"SaxaVord Spaceport + Follow 688 followers  NATO delegates visited SaxaVord Spaceport and our German launch partner RFA following the STARLIFT meeting, getting a first-hand look at the UK's only fully- licensed vertical launch site. With test flights planned later this year, SaxaVord is playing a vital role in Europe's space and defence future.  Read the full story on our website  #SaxaVord #NATO #RFA #STARLIFT #UKLaunch #SpaceForSecurity #Spaceport  2 comments - 21 reposts  ® Like © Comment 1% Repost 7 Send",https://www.linkedin.com/posts/saxavord_saxavord-nato-rfa-activity-7330251721786408962-eyPx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"@O 389 2 comments - 21 reposts  ® Like © Comment 1% Repost 7 Send  Rocket Factory Augsburg - RFA  51,174 followers  aw ® In an era of rising geopolitical tensions, cyber threats, and natural disasters, space technology has become the backbone of Europe's defense and civil protection, From real-time intelligence to disaster response, satellites play a crucial role s°  TLDR: satellites keep us safe. But what happens if we can't get them to orbit when we need to?  Find out in our latest blog entry, where we cover  + What exact role space plays in security and defense + Why Europe needs independent and flexible access to space  + What to consider when thinking about responsive launch capabilities  + How our RFA ONE launch vehicle can be a building block for more resilience  A topic that is serious - and is urgent! Read the full blog entry here",https://www.linkedin.com/posts/rfa-space_in-an-era-of-rising-geopolitical-tensions-activity-7325790416266539009-zIAW?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"Rocket Factory Augsburg - RFA 174  imo ®  © Ignite your day, one cup ata time @  After months of experimentation, we've finally cracked the code for the ultimate human fuel. It's (more or less) the same thing that powers our rocket — pure energy! And now, you can get a taste of it too!  We're excited to announce our new collaboration with Bohnenschmiede, a local coffee roastery, offering you the official RFA coffee. Try now the very same coffee that fuels  our team every day as they push the limits of space technology”  Just like our Helix engine propels the RFA ONE rocket, this coffee is crafted to give you the boost you need — whether you're launching into a workday or into the unknown.  Check it out here  BTW: All proceeds go 100% to the Bohnenschmiede roastery to support a local business.",https://www.linkedin.com/posts/rfa-space_ignite-your-day-one-cup-at-a-time-activity-7317822747244425216-pQbj?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"® Like © Comment 1% Repost 7 Send  Rocket Factory Augsburg - RFA  174 s  ® ‘An important visit to our HQ in Augsburg: ; Deputy Minister President of Bavaria and Bavarian Minister of Economic Affairs, visited us yesterday!  Many European space companies have sites in Bavaria - and for a reason! We are very grateful for the visit and the positive dialogue about the future of Bavarian, German and European space industry. There is a lot to do and it is great to feel the enthusiasm and support!  We are on our way into space - and we are on this mission together!",https://www.linkedin.com/posts/rfa-space_an-important-visit-to-our-hq-in-augsburg-activity-7315689329563959297-sQLf?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"COG 262 3 comments - 6 reposts Like © Comment Repost 4] Send Rocket Factory Augsburg - RFA + Follow EBAY 51,174 followers imo @  Congratulations to the whole team! This is a great result for a first test flight and a very strong signal for the private European launcher industry!  Have fun diving into the valuable data!  77 ""sat Aerospace + Follow  108,874 followers ‘imo + Edited» ©  What a success! At 12:30 PM CEST, Isar Aerospace's Spectrum launch vehicle  successfully lifted off from Andgya Spaceport in Norway. The launch vehicle was  terminated after approx. 30 seconds in flight, and the vehicle fell directly ..more  ans eo",https://www.linkedin.com/posts/rfa-space_what-a-success-at-1230-pm-cest-isar-aerospaces-activity-7312361408766140416-KJ19?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"1 comment - 3 reposts  Like © Comment Repost J Send Rocket Factory Augsburg - RFA + Follow EBAY 51,174 followers 2mo+@  Dear rocket colleagues from the neighboring city, we send our very best wishes for your launch campaign of Spectrum!  ‘We know very well what an incredible challenge it is to develop, build, test and finally launch a rocket. And how much passion, perseverance, nerves of steel and long days/ short nights are required to achieve this.  So believe us when we say: We are keeping our fingers crossed for you, wish you lots of valuable data and are hoping for some great photos and videos! #TeamSpace  Ad astral Team RFA VA Isar Aerospace + Follow followers  2mo + Edited + ©",https://www.linkedin.com/posts/rfa-space_fromisartospace-goingfullspectrum-activity-7308498613649698816-lfDv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"ee 458 3 comments - 2 reposts  Like © Comment Repost 4] Send  SaxaVord Spaceport + Follow ewidona 9,688 followers  2mo+ @ “What we are seeing today between German and UK companies is very encouraging. Having access to sovereign launch will be very important for our security.” General Traut, head of German Space Command.  Follow link for more.  fe to lead sovereign space launch for European ea  €€0 132 3 comments - 13 reposts  Like © Comment Repost J Send  } | Rocket Factory Augsburg - RFA + Follow",https://www.linkedin.com/posts/saxavord_initiative-to-lead-sovereign-space-launch-activity-7305231144612945920-SZM1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"Rocket Factory Augsburg - RFA 51,174 followers Amo « Edited « ©  Welcome 2025! Before we hit the ground running again this year, let's take a brief look back at the very successful past year and recap.  And then we'll keep going - we have to launch a first test flight!  RFA 2024 recap - 8 pages    [CONTINUED_FROM_SCROLL]  + 9 Helix engines integrati  a Sunkhpad at SaxaVord Spaceportin a iol  successful first /stage hot ires with multiple Helix engines  © Comment Repost 7] Send    [CONTINUED_FROM_SCROLL]  + Successful flight qualification hot fire + Adjusts the O/F ratio autonomously + Achieved an unburnt propellant mass of  under 1% at engine cut-off  3/8 ——————_* ca  CEO 396 4 comments  SW Like © Comment Repost 7] Send    [CONTINUED_FROM_SCROLL]  zs Suceesstul fight qualif ation hot fire of Redshift OTV. + full flight simulation including  Coasting and re-ignition  4/8 ——————_—_—__  © Comment Repos! 7] Send    [CONTINUED_FROM_SCROLL]  Director of Space European Space Agency  © Comment 7 Send   [CONTINUED_FROM_SCROLL]  ""Panel Discussions { he ye a  a.o. ILA Berlin ""Space Tee! Munich Security. Conference, td Paris alr Fa  5,000+ Mentions  of REA in the media  Hed aa)  Comms Tim Dodd aka EverydayAstronaut visit, ARTE &  4 comments  © Comment epost 7 Send   [CONTINUED_FROM_SCROLL]  RFA secured 11.8M € funding. from ESA    [CONTINUED_FROM_SCROLL]  © Comment 7 Send",https://www.linkedin.com/posts/rfa-space_rfa-2024-recap-activity-7282321484990046209-5_bU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"EO 396 4. comments - 8 reposts  Like © Comment Repost J Send  Rocket Factory Augsburg - RFA 51,174 followers  5mo+@ Pa Day 22  Last year, we were super thankful for hosting one of the biggest influencers in the space industry: Tim Dodd, the Everyday Astronaut, visited us for a day in our HQ in Germany.  We gave him a very unique look behind the scenes of a European launch service provider - from a tour of our workshop to our test site near Augsburg.  Hf you haven't seen him interviewing our co-founder inside the tank of a first stage, watch his video now:",https://www.linkedin.com/posts/rfa-space_rfadvent-activity-7276521864468836352-H969?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
RFA,"GO 166 1 comment - 1 repost  Like © Comment Repost J Send  Rocket Factory Augsburg - RFA 51,174 followers  5mo+@ Pa Day 21  Remember the giant Kinder egg — the rocket's fairing?  Inside you will find the payloads, which are treated with care like Christmas presents. Speaking of payloads: the photo shows Cirium 5 from our customer during our first joint activities in Scotland. Also flying  with us on our TestFlight1 are our customers and  Santa has his sledge to fit all the presents in — we have our OTV to transport multiple satellites at the same time into orbit!  2 reposts",https://www.linkedin.com/posts/rfa-space_rfadvent-redshift-activity-7276159509486522370-FpS6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
