company,postContent,postUrl
Sirius Space Services,"#” 270 Seconds Later. One Qualified Injector Plate. One Step Closer to Orbit.  Last week, at the in Lampoldshausen, we wrapped up our third thrust chamber assembly —and it delivered. @ & A total of 140 seconds of power.  & Same injection plate as in October — reused for a total of 270 seconds of No degradation. Proof that our design not only works — it lasts. And it's on track to be for our #S1B flight.  This chamber was designed and 100% in-house — and thanks to our agile loop, each new version rolls out in under one month. That's the pace we've set — and we're not slowing down.  Next stop? testing. And beyond that: qualification. To our ‘team — your work is igniting more than just, It’s igniting the future of European capability. 3*  Thanks to and  for your support across our  Together, let's reach orbit.",https://www.linkedin.com/posts/sirius-space-services_testcampaign-fullthrust-testing-activity-7323016991110324225-ITM8?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"Where Hardware Meets Purpose: The Journey of a Test Bench  Behind every successful engine test lies a powerful enabler: the Where theory meets reality and every subsystem is pushed to its limits.  * Over the past few months, our has been fully dedicated to the internal development and manufacturing of our first Sirius test bench. A major milestone for our company: we'll soon be testing and qualifying our on our own infrastructure, designed by Sirius, for  Our test benches are more than just infrastructure. They are strategic assets, custom- built to help us 7 and the critical components of, our faster and smarter. +  Thanks to our in-house design and software development, we've created flexible, robust platforms that allow us t  Accelerate test cycles Investigate issues in real time Hit our key technical milestones on schedule  & These test benches are the backbone of our toward engine qualification and, ultimately, flight.  From metal, code, and grit, we're building the path to space.  Together, let's reach orbit 3”",https://www.linkedin.com/posts/sirius-space-services_testbench-spaceteam-fullengine-activity-7331340578745483265-1Zex?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"From 60 to 140 Seconds... And Beyond #”  Behind every iteration of our #combustionchamber, there's the work of an entire team, and a thousand decisions made along the way.  Each iteration brings us one step closer to our next goal: the qualification of a complete #engine.  From the first design sketches to hearing the chamber roar to life, each milestone is the result of the commitment and expertise of our #SpaceTeam. @  Our choice to internalize #inhouse the full chain, from #design to #manufacturing, is, what gives us the agility, precision, and expertise to push our #propulsion systems further with every test campaign.  Because every second counts and every second tells a story: Of ambition. Of hard work. Of resilience. |  Since 2023, our #testcampaign has grown steadily: 60 seconds at low thrust power - December 2023 120 seconds at full thrust power — October 2024 140 seconds at full thrust power — April 2025  And we're just getting started..  & Next up: a #fullengine test by the end of the year, and the first ballistic flight of #Sirius1 by the end of 2026.  From fire on the ground to flight to #orbit, the path to the stars is no longer a dream. It’s a timeline. We're proud of how far we've come and even prouder of the #SpaceTeam making it happen.  © Special thanks to our #Propulsion and #Manufacturing teams for turning ambition into action, And to Centre National d'Etudes Spatiales and German Aerospace Center (DLR) for your support across our #Spacejourney  Curious to see what a combustion chamber looks like after 140 seconds at full thrust? Come meet us at our booth B2 during #SIAE25.",https://www.linkedin.com/posts/sirius-space-services_carousel-essais-activity-7328816158072090626-5aqJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"CO 116 3 comments - 6 reposts  ® Like © Comment 1% Repost J Send  Hugues Chopard @ - 3:c+ + Follow Sales & Public Affairs Manager  imo+@ Exciting News from Sirius Space Services! #!  | am thrilled to announce that we are launching the hiring process for a Mission Manager at Sirius Space Services.  ius Space Services reposted this  This pivotal role will be instrumental in managing our clients’ satellites, ensuring their successful launch and operation. This marks the dawn of the commercialisation of our cutting-edge Sirius Modular Launch Service, a major step in space technology.  If you are passionate about space exploration and eager to contribute to groundbreaking missions, we would love to hear from you.  Join Sirius Space Services’ journey and Together let's reach orbit !  4 ion Manager EIGER Job by Sirus Space Services c& Greater Paris Metropolitan Region (On-site)  9 reposts  ® Like © Comment 1% Repost 7 Send  Sirius Space Services + Follow fee 12.360 followers imo+@  [EN version below] #” Cette semaine, nous avons eu le plaisir d’accueillir sur nos sites",https://www.linkedin.com/posts/hugues-chopard_exciting-news-from-sirius-space-services-activity-7322541868443983872-UOKr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"IEN version below] 3° Cette semaine, nous avons eu le plaisir d’accueillir sur nos sites basés en #lledeFrance une délégation du Centre National d'Etudes Spatiales, conduite par son Président Lionel Suchet.  Cette visite s‘inscrit dans la continuité d'une collaboration étroite, engagée depuis les débuts de Sirius Space Services. Elle a permis de réaffirmer le réle clé du #CNES 8 nos cétés, en tant que partenaire technique et institutionnel.  Ces échanges ont été riches et porteurs, confirmant notre volonté commune de batir un accés souverain a I'fespace, 3 la hauteur des ambitions francaises.  Cette rencontre a également été l'occasion de partager nos derniéres avancées — des jalons structurants pour #SiriusSpace, que nous dévoilerons plus largement dans les semaines & venir..  A Merci 8 l'ensemble de la délégation pour leur disponibilité, leur écoute et la qualité des discussions : Lionel Suchet | Carine Leveau | Ursula Aniakou | Julien  lou  Together, let's reach orbit!  x° This week, we had the pleasure of welcoming a delegation from the Centre National d'Etudes Spatiales to our sites in the #lledeFrance region, led by its President, Lionel Suchet.  This visit is part of the ongoing close collaboration that has been in place since the early days of Sirius Space Services. It reaffirmed the key role of #CNES as both a technical and institutional partner by our side.  The discussions were insightful and productive, highlighting our shared commitment to building sovereign access to #space that matches France's ambitions.  This meeting was also an opportunity to share our latest developments — key milestones for #SiriusSpace, which we'll be revealing more broadly in the coming weeks.  in tha antira dalamatinn fartheirtime attantnyanace and tha",https://www.linkedin.com/posts/sirius-space-services_iledefrance-cnes-espace-activity-7317932249532764163-h_sW?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"eS, Founder & CEO at Sirius Space Services oe)  Je navais que 13 ans quand j'ai commencé a réver d'espace. Dix ans plus tard, ce réve prend une nouvelle dimension.  Je suis honoré d'avoir été sélectionné par Forbes France dans le palmarés #30under30 — édition 2025.  Cette distinction, je la regois avec humilité. Elle incarne bien plus qu'un accomplissement personnel : elle refléte le travail acharné, la passion et I'audace de toute une équipe. Notre #SpaceTeam.  ius Space Services est née d'une ambition claire : offrir un service d'accés & I'espace réactif, fiable et durable, grace 4 notre gamme de petits lanceurs #SIRIUS. Des lanceurs développés — et trés prochainement produits — en région ile-de-France, pour répondre aux enjeux d’aujourd'hui et aux ambitions de demain.  lly 5 ans, nous n’avons pas décidé d’attendre, Nous avons pris le risque d'y croire, d'avancer sans certitude, mais toujours avec conviction.  A travers ce projet, nous portons une conviction forte : l'accés a l'espace est un levier stratégique. Un outil indispensable pour garantir une #Souveraineté technologique et industrielle européenne, dans un contexte oli espace devient un territoire diindépendance.  Je remercie Forbes France pour cette reconnaissance, mes équipes, ainsi que tous ceux qui nous soutiennent depuis le début de notre aventure spatiale.  A toutes celles et ceux qui révent de construire ce qui semble impossible : entourez- vous bien, lancez-vous, et surtout, tenez bon.  Et si votre passion rejoint la nétre... Rejoignez l'aventure Sirius Space Services!  Show translation",https://www.linkedin.com/posts/antoine-fourcade-4b10901ab_30under30-spaceteam-sirius-activity-7318297132094873601-_sJF?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"me ino ®  4 From April 7-10, Sirius Space Services joins the French delegation at #SpaceSymposium! x” @  ‘#SiriusSpace is proud to join the #FrenchTouch movement initiated by Centre National d'Etudes Spatiales at one of the biggest global space events. Alongside more than 40 key players from the French space industry, we are united by a common ambition:  x° Spotlighting France's vision and excellence in space on the global stage.  Let's talk #launches! During four days, our #SpaceTeam will be on-site to discuss how #SIRIUS — our reliable, flexible, and sustainable #launchservice — is transforming #smallsatel  missions.  Let's explore how we can take your missions to new heights! 3° @ 4 Antoine Fourcade - Co-founder & CEO Hugues Chopard — Sales Manager  Where to find us? =)  © Space Symposium ~ CNES Booth 403 © April 7-10, 2025  © Colorado Springs  Check out the exciting program of events at the #CNES booth below, and join the French team !  4 See you there—Together, let's reach orbit!  SPACE SYMPOSIUM COLORADO =sES SPRINGS ===",https://www.linkedin.com/posts/sirius-space-services_space-symposium-program-activity-7312862567691968514-akzN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"wf Accélérer. Produire. Innover. On ne lache RIEN !  Une semaine au coeur de l'industrie francaise, et un constat clair sation est en marche, et le spatial en est un moteur stratégique.  la #réindustri  A #Globallndustrie 2025, aux cétés de la La French Fab, nous avons porté haut et fort les enjeux d'un accés souverain a 'espace, levier essentiel pour renforcer notre indépendance technologique et industrielle.  @ Le spatial est un pilier industriel et Sirius Space Services joue un rdle clé dans cette dynamique, en proposant des solutions de lancement dédiées aux nouvelles générations de satellites, assurant ainsi un accés autonome, fiable et compétitif & Vorbite.   Structurer une industrie forte et pérenne  Sur scéne, Antoine Fourcade, Co-fondateur & CEO, a partagé la vision de #Sirius pour batir un écosystéme spatial robuste et compétitif :  * Des lanceurs adaptés aux nouveaux besoins du marché — Laccés rapide et flexible & espace repose sur des solutions dédiges, capables de soutenir la croissance du marché.  * Une transformation industrielle en cours - D'ici fin 2025, 40 % de notre équipe sera en production et 60 % en ingénierie, renforcant ainsi notre contribution au développement de l'industrie spatiale en France,  * Une supply chain optimisée — Structurer et rationaliser la chaine d'approvisionnement de nos lanceurs est une priorité pour assurer la compétitivité du secteur spatial européen.  aM Un dialogue essentiel avec les décideurs  Nous avons eu le plaisir d’accueillir des institutionnels tels que Francois Bayrou, Thomas Courbe, Marc Ferracci, Charles Rodwell et Thomas Dossus, qui ont souligné le réle de Sirius Space Services dans la réindustrialisation du spatial et Vimportance d'un écosystéme industriel solide pour assurer un accas souverain & Vespace. Dans un contexte économique, social et géopolitique en mutation, il est plus que jamais essentiel de renforcer notre tissu industriel et sa chaîne de valeur pour garantir notre indépendance – et cela passe par l’industrie spatiale. ✅ Pourquoi est-ce un enjeu majeur aujourd’hui ? 🔹Un accès indépendant et fiable à l’espace est un impératif stratégique. 🔹Le secteur spatial stimule l’hashtag#innovation et irrigue d’autres secteurs industriels clés. 🔹La réindustrialisation passe par la montée en puissance de filières technologiques souveraines, telles que le spatial. 🙏Un immense MERCI à La French Fab, Bpifrance et Résonance, nos partenaires engagés à nos côtés, ainsi qu’à tous ceux qui sont venus à notre rencontre – talents, industriels, institutionnels… Cet élan collectif prouve que le spatial est plus que jamais un moteur de croissance et d’innovation pour l’hashtag#industrie. Sirius accélère. L’Europe spatiale s’ancre. L’avenir se construit aujourd’hui. Ensemble, atteignons l’orbite ! ",https://www.linkedin.com/posts/sirius-space-services_raezindustrialisation-globalindustrie-sirius-activity-7307815044107440128-0EA2?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"emo « Edited » af” From March 11th to 14th — Join Us at GLOBAL INDUSTRIE 2025!”  This major event is the ultimate gathering for the industrial ecosystem, those forging the industries of today and tomorrow.  In the current context of reindustrialization in #France, where industry is seen as a key driver of sovereignty and competitiveness, Sirius Space Services is fully committed to strengthening this dynamic.  Through #SiriusLaunchers, we provide reliable, cost-effective, and sustainable launch. solutions, contributing to France's technological autonomy and enhancing its industrial  competitiveness on the international stage  © Find our #SpaceTeam at La French Fab booth! Let's connect and discuss how space is supporting the future of #industry.  Don't miss Antoine Fourcade, our CEO, on stage! ® March 13th | 14:00 - Grande Scne GLOBAL INDUSTRIE  Interview with Alexia Kefalas  @ Topic: Deeptech Gems, French Excellence for European Sovereignty | Les pépites deeptech, une excellence francaise pour une souveraineté européenne  @ Theme: Act now: for an industry that decides and moves forward | Agir maintenant: pour une industrie qui décide et qui avance.  Join us and be part of our #spacejourney!  #G125 #Industrie #innovation  MARS 2025  CLOBAL |11 14 Bb .",https://www.linkedin.com/posts/sirius-space-services_global-industrie-2025-activity-7303817996383248384-SnJN?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
Sirius Space Services,"rr: as FEM 12.360 followers 2mo + Edited - ©  From March 10-13 | Lands in the US. at  This year, we're bringing - our reliable, flexible and  sustainable - to the US. stage.  Join , in at - the premier global  event for the space and satellite industry.  For over 40 years, has gathered key players from 110+ countries, making it the ultimate hub for business, innovation, and partnerships.  a Let's talk i  Our Commercial will be on-site to discuss how can support your mission with tailored, high-quality services.  + | Co-founder & CTO + | Sales Manager  Contact us to schedule a meeting or reach out to connect! Together, let's reach orbit!”  Sirius Space - Satellite 2025 - 2 pages  SATELLITE 2025:  CONFERENCE & EXHIBITION",https://www.linkedin.com/posts/sirius-space-services_sirius-space-satellite-2025-activity-7302730971198451712-_b2b?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFsyZUYBH2tDEsbgneW-xiicuGyTwj5RqN8
